subject,session,block,runsheet,trial,exposure,valence,action,robot,stimulus,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
02lqpjp4pevk73p8f7ipewf9,2,2,3a,175,6,lose,no-go,NGAL,4.0,T,elianto,0,1,1.162,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,176,4,lose,go,GAL,5.0,B,elianto,1,0,,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,177,3,win,no-go,NGW,7.0,Z,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,178,7,lose,no-go,NGAL,4.0,T,elianto,0,1,1.144,0,1.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,179,3,win,no-go,NGW,6.0,C,elianto,0,1,1.236,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,180,5,lose,go,GAL,5.0,B,elianto,1,1,1.223,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,181,6,lose,go,GAL,5.0,B,elianto,1,0,,0,1.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,182,8,lose,no-go,NGAL,4.0,T,elianto,0,1,1.092,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,183,4,win,no-go,NGW,7.0,Z,elianto,0,1,0.901,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,184,4,win,no-go,NGW,6.0,C,elianto,0,1,0.747,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,185,7,lose,go,GAL,5.0,B,elianto,1,1,1.06,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,186,5,win,no-go,NGW,7.0,Z,elianto,0,1,1.093,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,187,5,win,no-go,NGW,6.0,C,elianto,0,0,,1,0.0,+10,0
