subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,1,1,110,28,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,111,28,3,lose,go,gal,rune_02_raido,blue,1,1,0.445,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,112,28,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,113,29,3,lose,go,gal,rune_02_raido,blue,1,1,0.536,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,114,29,2,win,go,gw,rune_02_cen,yellow,1,1,0.392,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,115,29,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,1,116,29,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,117,30,3,lose,go,gal,rune_02_raido,blue,1,1,0.521,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,118,30,2,win,go,gw,rune_02_cen,yellow,1,1,0.374,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,119,30,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,120,30,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,121,1,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,1,0.496,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,1,2,122,1,6,lose,go,gal,rune_01_ear,blue,1,1,0.476,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,123,1,7,win,no-go,ngw,rune_01_yr,yellow,0,1,0.587,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,2,124,1,8,win,go,gw,rune_01_ger,yellow,1,1,0.698,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,125,2,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,2,126,2,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,127,2,8,win,go,gw,rune_01_ger,yellow,1,1,0.823,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,128,2,6,lose,go,gal,rune_01_ear,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,1,2,129,3,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,130,3,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,1,0.731,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,1,2,131,3,6,lose,go,gal,rune_01_ear,blue,1,1,1.252,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,2,132,3,8,win,go,gw,rune_01_ger,yellow,1,1,0.394,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,133,4,6,lose,go,gal,rune_01_ear,blue,1,1,0.591,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,134,4,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,135,4,8,win,go,gw,rune_01_ger,yellow,1,1,0.536,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,2,136,4,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,137,5,6,lose,go,gal,rune_01_ear,blue,1,1,1.232,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,138,5,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,2,139,5,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,140,5,8,win,go,gw,rune_01_ger,yellow,1,1,0.496,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,141,6,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,142,6,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,143,6,6,lose,go,gal,rune_01_ear,blue,1,1,0.437,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,144,6,8,win,go,gw,rune_01_ger,yellow,1,1,0.466,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,145,7,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,146,7,6,lose,go,gal,rune_01_ear,blue,1,1,0.832,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,147,7,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,2,148,7,8,win,go,gw,rune_01_ger,yellow,1,1,0.426,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,149,8,6,lose,go,gal,rune_01_ear,blue,1,1,0.682,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,2,150,8,8,win,go,gw,rune_01_ger,yellow,1,1,0.576,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,151,8,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,152,8,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,153,9,8,win,go,gw,rune_01_ger,yellow,1,1,0.383,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,154,9,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,155,9,6,lose,go,gal,rune_01_ear,blue,1,1,0.424,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,156,9,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,2,157,10,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,158,10,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,159,10,8,win,go,gw,rune_01_ger,yellow,1,1,0.366,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,2,160,10,6,lose,go,gal,rune_01_ear,blue,1,1,0.512,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,161,11,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,162,11,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
