	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[53,3,4]	1.28	0.00416	0.394	0.515	1.27	2.04	8978.0	0.461	1.0
beta[54,3,4]	0.0344	0.00274	0.281	-0.563	0.0339	0.562	10558.0	0.542	0.999
beta[55,3,4]	0.059	0.00597	0.628	-1.2	0.066	1.24	11056.0	0.567	0.999
beta[56,3,4]	0.193	0.00557	0.603	-1.05	0.187	1.37	11737.0	0.602	0.999
beta[57,3,4]	-0.223	0.00556	0.58	-1.38	-0.236	0.872	10861.0	0.557	1.0
beta[58,3,4]	0.0125	0.00807	0.867	-1.81	0.00727	1.67	11537.0	0.592	1.0
beta[59,3,4]	0.151	0.00278	0.289	-0.448	0.151	0.693	10849.0	0.556	0.999
beta[60,3,4]	0.0149	0.00331	0.329	-0.654	0.0115	0.636	9896.0	0.508	1.0
beta[61,3,4]	0.00218	0.00655	0.654	-1.33	-0.00456	1.24	9962.0	0.511	0.999
beta[62,3,4]	-0.337	0.00575	0.582	-1.52	-0.332	0.811	10228.0	0.525	1.0
beta[63,3,4]	-0.224	0.00602	0.68	-1.65	-0.22	1.06	12785.0	0.656	0.999
