name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[3,31]	-1.16	0.0112	0.585	-2.38	-1.14	-0.109	2718.0	0.193	1.0
theta_d_pr[3,32]	0.0765	0.0103	0.635	-1.23	0.0806	1.29	3780.0	0.269	1.0
theta_d_pr[3,33]	1.04	0.00925	0.627	-0.252	1.04	2.23	4596.0	0.327	1.0
theta_d_pr[3,34]	1.59	0.00748	0.516	0.529	1.57	2.56	4759.0	0.339	1.0
theta_d_pr[3,35]	-0.41	0.0144	0.605	-1.62	-0.409	0.733	1773.0	0.126	1.0
theta_d_pr[3,36]	-0.886	0.00974	0.548	-2.07	-0.87	0.0882	3169.0	0.226	1.0
theta_d_pr[3,37]	0.81	0.0102	0.737	-0.68	0.787	2.22	5251.0	0.374	1.0
theta_d_pr[3,38]	-0.254	0.0121	0.657	-1.6	-0.255	0.999	2959.0	0.211	1.0
theta_d_pr[3,39]	-0.669	0.0188	0.668	-2.04	-0.676	0.577	1268.0	0.0902	1.0
theta_d_pr[3,40]	-0.378	0.0112	0.651	-1.71	-0.406	0.873	3388.0	0.241	1.0
theta_d_pr[3,41]	-0.563	0.0106	0.584	-1.79	-0.554	0.513	3016.0	0.215	1.0
theta_d_pr[3,42]	-0.204	0.0192	0.653	-1.5	-0.22	0.998	1153.0	0.0821	1.0
theta_d_pr[3,43]	-1.47	0.00844	0.577	-2.7	-1.46	-0.399	4682.0	0.333	1.0
theta_d_pr[3,44]	-1.85	0.0186	0.599	-3.16	-1.84	-0.783	1037.0	0.0738	1.01
theta_d_pr[3,45]	1.61	0.00839	0.48	0.651	1.6	2.56	3272.0	0.233	1.0
theta_d_pr[3,46]	0.036	0.00766	0.45	-0.892	0.0271	0.899	3457.0	0.246	1.0
theta_d_pr[3,47]	0.726	0.0101	0.661	-0.666	0.729	1.96	4284.0	0.305	1.0
theta_d_pr[3,48]	0.303	0.0119	0.783	-1.36	0.299	1.74	4333.0	0.308	1.0
theta_d_pr[3,49]	0.248	0.0209	0.574	-0.941	0.257	1.32	754.0	0.0536	1.01
theta_d_pr[3,50]	-0.455	0.0201	0.574	-1.62	-0.441	0.602	814.0	0.0579	1.01
theta_d_pr[3,51]	0.342	0.0216	0.527	-0.678	0.345	1.33	597.0	0.0425	1.01
theta_d_pr[3,52]	-0.105	0.00994	0.662	-1.47	-0.118	1.13	4434.0	0.316	1.0
theta_d_pr[3,53]	-0.0681	0.0208	0.611	-1.29	-0.0678	1.07	866.0	0.0616	1.0
theta_d_pr[3,54]	-0.754	0.0216	0.709	-2.17	-0.766	0.598	1082.0	0.077	1.0
theta_d_pr[3,55]	0.636	0.0101	0.802	-1.02	0.64	2.16	6305.0	0.449	1.0
theta_d_pr[3,56]	-1.01	0.0189	0.559	-2.16	-1.0	0.00827	873.0	0.0621	1.01
theta_d_pr[3,57]	0.366	0.0094	0.659	-0.99	0.371	1.62	4919.0	0.35	1.0
theta_d_pr[3,58]	0.521	0.0123	0.557	-0.639	0.534	1.58	2055.0	0.146	1.0
theta_d_pr[3,59]	0.141	0.0116	0.74	-1.41	0.155	1.54	4051.0	0.288	1.0
theta_d_pr[3,60]	-0.452	0.0108	0.622	-1.74	-0.47	0.688	3339.0	0.238	1.0
theta_d_pr[3,61]	-1.64	0.0102	0.573	-2.88	-1.61	-0.597	3159.0	0.225	1.0
theta_d_pr[3,62]	-1.08	0.0177	0.637	-2.4	-1.06	0.0623	1294.0	0.0921	1.0
theta_d_pr[3,63]	0.209	0.0297	0.564	-0.966	0.208	1.27	360.0	0.0257	1.01
