	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[42,2,5]	1.51	0.0106	0.62	0.299	1.49	2.69	3423.0	1.33	1.0
beta[43,2,5]	0.00199	0.015	0.93	-1.99	0.00412	1.69	3865.0	1.5	1.0
beta[44,2,5]	-0.292	0.00926	0.537	-1.35	-0.306	0.711	3365.0	1.3	0.999
beta[45,2,5]	0.717	0.0072	0.482	-0.28	0.706	1.62	4484.0	1.74	0.998
beta[46,2,5]	0.00644	0.0145	0.903	-1.9	0.0121	1.71	3861.0	1.5	0.999
beta[47,2,5]	1.02	0.00987	0.561	-0.166	1.01	2.07	3226.0	1.25	0.999
beta[48,2,5]	0.00148	0.0128	0.891	-1.82	0.0131	1.69	4830.0	1.87	0.999
beta[49,2,5]	-0.568	0.00648	0.444	-1.47	-0.571	0.291	4691.0	1.82	0.999
beta[50,2,5]	-1.33	0.00656	0.438	-2.21	-1.33	-0.497	4458.0	1.73	0.999
beta[51,2,5]	-0.671	0.00698	0.441	-1.56	-0.678	0.165	3993.0	1.55	0.999
beta[52,2,5]	-0.768	0.00849	0.526	-1.86	-0.758	0.214	3832.0	1.49	0.999
beta[53,2,5]	0.329	0.0081	0.5	-0.707	0.331	1.26	3808.0	1.48	0.999
beta[54,2,5]	-0.0815	0.00748	0.506	-1.1	-0.0858	0.89	4571.0	1.77	0.999
beta[55,2,5]	-0.00161	0.0143	0.942	-1.88	-0.00881	1.69	4351.0	1.69	0.999
beta[56,2,5]	-0.0131	0.0126	0.987	-2.09	-0.00782	1.88	6163.0	2.39	0.999
beta[57,2,5]	-0.464	0.00983	0.536	-1.54	-0.482	0.6	2965.0	1.15	1.0
beta[58,2,5]	-1.03	0.00663	0.435	-1.91	-1.03	-0.219	4292.0	1.66	0.998
beta[59,2,5]	-0.0152	0.0145	0.96	-2.01	-0.0302	1.85	4402.0	1.71	1.0
beta[60,2,5]	-0.905	0.00798	0.456	-1.85	-0.9	-0.0693	3268.0	1.27	0.999
