	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1[1,54]	10.4	0.0916	5.12	3.11	9.45	22.5	3120.0	0.142	1.0
b1[2,54]	10.7	0.0928	5.15	3.23	9.78	22.9	3074.0	0.14	1.0
b1[1,55]	27.5	0.0731	5.34	17.8	27.1	38.5	5335.0	0.243	1.0
b1[2,55]	27.9	0.0726	5.25	18.5	27.6	38.5	5235.0	0.238	1.0
b1[1,56]	9.72	0.0293	2.05	6.19	9.54	14.0	4901.0	0.223	1.0
b1[2,56]	9.81	0.0296	2.01	6.42	9.6	14.0	4642.0	0.211	1.0
b1[1,57]	5.91	0.101	4.63	1.21	4.28	17.8	2116.0	0.0962	1.0
b1[2,57]	6.1	0.0999	4.7	1.19	4.6	18.1	2216.0	0.101	1.0
b1[1,58]	7.65	0.0678	3.98	3.1	6.62	17.7	3436.0	0.156	1.0
b1[2,58]	7.52	0.0711	4.28	1.94	6.58	17.7	3628.0	0.165	1.0
b1[1,59]	6.2	0.113	5.12	0.33	4.53	19.3	2040.0	0.0928	1.0
b1[2,59]	7.11	0.104	4.87	1.85	5.55	19.6	2204.0	0.1	1.0
b1[1,60]	14.1	0.0868	5.63	6.12	13.1	27.2	4211.0	0.192	1.0
b1[2,60]	14.5	0.084	5.57	6.59	13.5	27.5	4391.0	0.2	1.0
b1[1,61]	12.3	0.0804	4.96	5.38	11.3	23.7	3805.0	0.173	1.0
b1[2,61]	12.9	0.0764	4.91	5.92	12.1	24.3	4123.0	0.188	1.0
b1[1,62]	5.51	0.0268	1.32	3.42	5.32	8.39	2424.0	0.11	1.0
b1[2,62]	6.58	0.0273	1.46	4.22	6.4	9.74	2868.0	0.13	1.0
b1[1,63]	25.6	0.0741	5.65	15.7	25.0	37.4	5820.0	0.265	1.0
b1[2,63]	25.6	0.0768	5.76	15.3	25.2	37.7	5635.0	0.256	1.0
b1[1,64]	18.7	0.0871	5.57	8.89	18.3	30.3	4097.0	0.186	1.0
b1[2,64]	19.5	0.0765	5.31	10.6	18.8	30.9	4822.0	0.219	1.0
b1[1,65]	13.3	0.0532	3.63	7.54	12.7	21.6	4668.0	0.212	0.999
b1[2,65]	13.5	0.0549	3.66	7.81	13.0	21.8	4453.0	0.203	1.0
b1[1,66]	6.43	0.108	4.42	2.09	4.93	18.2	1682.0	0.0765	1.0
b1[2,66]	6.63	0.107	4.52	2.09	5.09	18.7	1792.0	0.0815	1.0
b1[1,67]	28.0	0.0779	5.71	17.8	27.5	40.2	5369.0	0.244	1.0
