name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"theta_c_pr[1,51]",-0.360,0.0125,0.518,-0.965,-0.478,0.659,1704,0.201,1.00
"theta_c_pr[1,52]",-0.0843,0.0114,0.296,-0.524,-0.107,0.431,676,0.0800,1.00
"theta_c_pr[1,53]",-0.733,0.0665,1.17,-1.72,-1.29,1.83,310,0.0367,1.01
"theta_c_pr[1,54]",0.117,0.0237,0.824,-1.11,0.0494,1.56,1210,0.143,1.00
"theta_c_pr[1,55]",1.65,0.0156,0.566,0.789,1.62,2.64,1322,0.156,1.00
"theta_c_pr[1,56]",-0.509,0.0141,0.465,-1.03,-0.613,0.427,1086,0.128,1.00
"theta_c_pr[1,57]",-0.188,0.0240,0.831,-1.25,-0.352,1.37,1202,0.142,1.00
"theta_c_pr[1,58]",1.04,0.0279,0.784,-0.208,1.04,2.32,790,0.0935,1.01
"theta_c_pr[1,59]",-1.22,0.0116,0.212,-1.53,-1.23,-0.897,335,0.0396,1.01
"theta_c_pr[1,60]",1.33,0.0180,0.526,0.517,1.30,2.26,850,0.101,1.00
"theta_c_pr[1,61]",0.178,0.0137,0.382,-0.380,0.142,0.850,777,0.0919,1.01
"theta_c_pr[1,62]",-0.738,0.0243,0.718,-1.40,-1.01,0.883,873,0.103,1.00
"theta_c_pr[1,63]",-0.766,0.0179,0.453,-1.24,-0.864,0.129,639,0.0756,1.01
"theta_c_pr[1,64]",0.334,0.0170,0.732,-0.758,0.273,1.64,1845,0.218,1.00
"theta_c_pr[1,65]",0.0165,0.0178,0.563,-0.659,-0.130,1.14,998,0.118,1.00
"theta_c_pr[1,66]",-0.250,0.0127,0.456,-0.851,-0.325,0.624,1298,0.153,1.00
"theta_c_pr[1,67]",-0.625,0.00916,0.187,-0.930,-0.634,-0.302,417,0.0493,1.01
"theta_c_pr[1,68]",1.28,0.0173,0.689,0.203,1.24,2.45,1592,0.188,1.00
"theta_c_pr[1,69]",0.261,0.0156,0.514,-0.387,0.156,1.28,1090,0.129,0.999
"theta_c_pr[1,70]",0.259,0.0181,0.612,-0.547,0.149,1.43,1145,0.135,1.01
"theta_c_pr[1,71]",-0.374,0.0146,0.509,-0.973,-0.489,0.650,1220,0.144,1.00
"theta_c_pr[1,72]",1.53,0.0136,0.583,0.639,1.51,2.56,1836,0.217,1.00
"theta_c_pr[1,73]",2.09,0.0179,0.606,1.16,2.06,3.14,1143,0.135,1.00
"theta_c_pr[1,74]",-0.279,0.0252,0.729,-1.10,-0.510,1.20,835,0.0987,1.01
"theta_c_pr[1,75]",0.214,0.0381,1.03,-1.30,0.183,1.94,730,0.0864,1.01
"theta_c_pr[1,76]",1.25,0.0193,0.537,0.455,1.22,2.20,771,0.0912,1.00
"theta_c_pr[1,77]",-0.895,0.0122,0.326,-1.30,-0.945,-0.341,717,0.0848,1.01
