name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[5,45]	-0.427	0.00512	0.409	-1.26	-0.435	0.346	6369.0	3.43	1.0
theta_pr[5,46]	0.957	0.00775	0.73	-0.438	0.923	2.36	8874.0	4.77	1.0
theta_pr[5,47]	0.156	0.00996	0.786	-1.54	0.167	1.69	6221.0	3.35	1.0
theta_pr[5,48]	-2.04	0.00719	0.655	-3.38	-2.06	-0.78	8298.0	4.46	1.0
theta_pr[5,49]	0.718	0.00812	0.647	-0.483	0.677	2.03	6349.0	3.42	0.999
theta_pr[5,50]	1.72	0.0101	0.783	0.091	1.73	3.2	5973.0	3.21	0.999
theta_pr[5,51]	-0.145	0.0085	0.667	-1.38	-0.19	1.23	6169.0	3.32	1.0
theta_pr[5,52]	-0.478	0.0073	0.571	-1.56	-0.508	0.653	6117.0	3.29	1.0
theta_pr[5,53]	-0.117	0.00996	0.945	-2.01	-0.126	1.73	8995.0	4.84	0.999
theta_pr[5,54]	0.173	0.009	0.708	-1.17	0.123	1.64	6182.0	3.33	1.0
theta_pr[5,55]	-0.0448	0.006	0.488	-0.988	-0.0721	0.957	6630.0	3.57	0.999
theta_pr[5,56]	-0.262	0.00974	0.708	-1.56	-0.301	1.16	5289.0	2.85	1.0
theta_pr[5,57]	0.325	0.00871	0.795	-1.28	0.297	1.91	8324.0	4.48	0.999
theta_pr[5,58]	0.163	0.0071	0.635	-1.04	0.127	1.47	8002.0	4.3	0.999
theta_pr[5,59]	0.528	0.0124	0.953	-1.38	0.518	2.33	5910.0	3.18	1.0
theta_pr[5,60]	0.203	0.00685	0.507	-0.782	0.191	1.2	5482.0	2.95	1.0
theta_pr[5,61]	0.947	0.00658	0.626	-0.272	0.923	2.16	9038.0	4.86	1.0
theta_pr[5,62]	-0.598	0.00871	0.826	-2.22	-0.624	1.04	8999.0	4.84	0.999
theta_pr[5,63]	-1.16	0.0119	0.843	-2.69	-1.25	0.642	5064.0	2.72	1.0
theta_pr[5,64]	0.0282	0.00624	0.533	-1.05	0.0148	1.06	7303.0	3.93	1.0
theta_pr[5,65]	-0.759	0.00707	0.574	-1.94	-0.768	0.333	6596.0	3.55	1.0
theta_pr[5,66]	-0.202	0.00652	0.613	-1.4	-0.224	1.02	8838.0	4.75	1.0
theta_pr[5,67]	-0.954	0.00811	0.705	-2.31	-0.983	0.463	7567.0	4.07	1.0
theta_pr[5,68]	1.3	0.00659	0.554	0.244	1.27	2.42	7075.0	3.81	1.0
theta_pr[5,69]	-0.0865	0.00818	0.641	-1.27	-0.135	1.27	6151.0	3.31	1.0
