name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_c_pr[5,57]	0.218	0.00733	0.706	-1.21	0.209	1.55	9278.0	2.83	0.999
theta_c_pr[5,58]	0.0861	0.0114	0.899	-1.74	0.0725	1.79	6259.0	1.91	1.0
theta_c_pr[5,59]	-0.39	0.0076	0.699	-1.78	-0.405	0.938	8446.0	2.58	1.0
theta_c_pr[5,60]	-0.329	0.00799	0.657	-1.64	-0.335	0.919	6763.0	2.07	1.0
theta_c_pr[5,61]	1.24	0.0099	0.788	-0.467	1.27	2.65	6343.0	1.94	1.0
theta_c_pr[5,62]	0.112	0.00945	0.754	-1.4	0.0902	1.57	6378.0	1.95	1.0
theta_c_pr[5,63]	-0.0112	0.00971	0.88	-1.78	-0.034	1.66	8221.0	2.51	1.0
theta_c_pr[5,64]	-1.01	0.00851	0.678	-2.33	-1.03	0.33	6352.0	1.94	1.0
theta_c_pr[5,65]	0.547	0.0107	0.814	-1.16	0.548	2.06	5831.0	1.78	1.0
theta_c_pr[5,66]	0.245	0.00885	0.735	-1.27	0.241	1.63	6897.0	2.11	1.0
theta_c_pr[5,67]	0.145	0.00762	0.732	-1.31	0.13	1.55	9241.0	2.82	1.0
theta_c_pr[5,68]	-0.477	0.0102	0.734	-1.92	-0.495	0.961	5174.0	1.58	1.0
theta_c_pr[5,69]	0.228	0.0076	0.701	-1.17	0.234	1.55	8515.0	2.6	1.0
theta_c_pr[5,70]	0.653	0.00833	0.724	-0.79	0.628	2.02	7556.0	2.31	1.0
theta_c_pr[5,71]	-0.0908	0.00907	0.723	-1.53	-0.112	1.3	6341.0	1.94	1.0
theta_c_pr[5,72]	0.84	0.00873	0.821	-0.796	0.833	2.38	8842.0	2.7	1.0
theta_c_pr[5,73]	-0.377	0.00915	0.695	-1.81	-0.373	0.954	5767.0	1.76	1.0
theta_c_pr[5,74]	-0.372	0.00881	0.799	-1.97	-0.402	1.21	8237.0	2.52	0.999
theta_c_pr[5,75]	0.282	0.00812	0.753	-1.28	0.284	1.71	8596.0	2.62	1.0
theta_c_pr[5,76]	-0.124	0.00929	0.78	-1.67	-0.142	1.4	7044.0	2.15	1.0
theta_c_pr[5,77]	-0.652	0.008	0.735	-2.1	-0.679	0.816	8433.0	2.58	1.0
theta_c_pr[5,78]	0.141	0.0109	0.722	-1.36	0.151	1.49	4393.0	1.34	1.0
theta_c_pr[5,79]	-0.0662	0.00867	0.742	-1.51	-0.0954	1.41	7326.0	2.24	1.0
theta_c_pr[5,80]	0.722	0.00795	0.73	-0.77	0.728	2.08	8441.0	2.58	1.0
theta_c_pr[5,81]	-0.754	0.00871	0.658	-2.07	-0.761	0.503	5700.0	1.74	1.0
theta_c_pr[5,82]	0.152	0.0123	0.872	-1.67	0.144	1.79	5053.0	1.54	1.0
theta_c_pr[5,83]	-0.83	0.0106	0.78	-2.43	-0.842	0.647	5379.0	1.64	1.0
theta_c_pr[5,84]	-0.152	0.00739	0.706	-1.55	-0.159	1.19	9126.0	2.79	1.0
theta_c_pr[5,85]	0.198	0.0106	0.825	-1.51	0.202	1.75	6008.0	1.83	1.0
theta_c_pr[5,86]	0.687	0.00811	0.74	-0.833	0.689	2.08	8319.0	2.54	0.999
theta_c_pr[5,87]	-0.539	0.00915	0.714	-1.98	-0.563	0.848	6086.0	1.86	1.0
theta_c_pr[5,88]	0.242	0.02	0.705	-1.23	0.266	1.53	1241.0	0.379	1.0
theta_c_pr[5,89]	0.334	0.00837	0.708	-1.12	0.328	1.67	7171.0	2.19	1.0
theta_c_pr[5,90]	-0.594	0.00981	0.786	-2.15	-0.606	0.887	6423.0	1.96	0.999
theta_c_pr[5,91]	0.251	0.00908	0.863	-1.47	0.228	1.91	9037.0	2.76	1.0
theta_d_pr[1,1]	-0.0419	0.00982	0.94	-1.98	-0.0347	1.72	9163.0	2.8	0.999
theta_d_pr[1,2]	-1.33	0.0143	0.884	-2.99	-1.38	0.471	3829.0	1.17	1.0
theta_d_pr[1,3]	0.761	0.00911	0.609	-0.418	0.727	1.97	4471.0	1.37	1.0
theta_d_pr[1,4]	-0.158	0.0101	0.983	-2.23	-0.155	1.69	9563.0	2.92	1.0
theta_d_pr[1,5]	0.00988	0.00938	0.995	-2.01	0.00492	1.85	11252.0	3.44	0.999
theta_d_pr[1,6]	0.488	0.0101	0.889	-1.3	0.487	2.2	7762.0	2.37	1.0
